"record_date","parent_id","classification_id","classification_desc","current_month_rcpt_amt","current_month_outly_amt","current_month_excess_amt","fytd_rcpt_amt","fytd_outly_amt","fytd_excess_amt","begin_year_acct_bal_amt","begin_month_acct_bal_amt","close_month_acct_bal_amt","table_nbr","src_line_nbr","print_order_nbr","line_code_nbr","data_type_cd","record_type_cd","sequence_level_nbr","sequence_number_cd","record_fiscal_year","record_fiscal_quarter","record_calendar_year","record_calendar_quarter","record_calendar_month","record_calendar_day"
"2025-09-30","57120116","57120118","Federal Fund Receipts and Outlays on the Basis of Table 4 & 5","397448024016.59","273573049009.51","123874975007.08","3409919406813.20","5281261662831.29","'-1871342256018.09","null","null","null","8","23","23","260","D","SL","2","2.2","2025","4","2025","3","09","30"
"2025-09-30","null","57120119","Net Budget Receipts & Outlays","543662987461.22","345713357099.06","197949630362.16","5234616386315.43","7009973667049.30","'-1775357280733.87","null","null","null","8","24","24","280","T","SL","1","3","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120109","Railroad Retirement","1401066079.91","1391665276.68","9400803.23","17447393578.31","16327821260.29","1119572318.02","2879138100.00","3410744000.00","3523325300.00","8","14","14","130","D","PG","2","1.13","2025","4","2025","3","09","30"
"2025-09-30","null","57120116","Total Federal Fund Receipts and Outlays","397797236313.18","273922261306.10","123874975007.08","3411392764386.33","5282735020404.42","'-1871342256018.09","null","null","null","8","21","21","230","T","SL","1","2","2025","4","2025","3","09","30"
"2025-09-30","null","57120096","Trust Receipts, Outlays, and Investments Held:","null","null","null","null","null","null","null","null","null","8","1","1","10","S","SL","1","1","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120112","All Other Trust","1589289559.64","1441678585.37","147610974.27","9795455283.79","9010254816.73","785200467.06","39460412756.03","40122409127.98","39813896299.56","8","17","17","170","D","PG","2","1.16","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120113","Total Trust Fund Receipts and Outlays and Investments Held from Table 6-D","293116539130.05","219041883774.97","74074655355.08","3276920709365.29","3180935734081.07","95984975284.22","6189787802708.44","6219398618173.76","6274790760823.41","8","18","18","190","T","SLU","2","1.17","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120114","Less: Interfund Transactions","146901575685.42","146901575685.42","null","1452223729863.06","1452223729863.06","null","null","null","null","8","19","19","200","D","SLD","2","1.18","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120115","Trust Fund Receipts and Outlays on the Basis of Tables 4 & 5","146214963444.63","72140308089.55","74074655355.08","1824696979502.23","1728712004218.01","95984975284.22","null","null","null","8","20","20","220","D","SL","2","1.19","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120106","Highways","5840683219.66","10999459964.10","'-5158776744.44","48227240699.51","74300315913.71","'-26073075214.20","96549198532.89","76295941739.32","68941413489.35","8","11","11","110","D","PG","2","1.10","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120107","Military Advances","9016923150.81","5420515659.31","3596407491.50","64039317029.54","50826325372.04","13212991657.50","null","null","null","8","12","12","120","D","PG","2","1.11","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120110","Unemployment","1543145813.31","3815348633.26","'-2272202819.95","58034729333.57","47806641499.21","10228087834.36","88030113000.00","98886507000.00","89394452000.00","8","15","15","150","D","PG","2","1.14","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120097","Airport and Airway","3600084462.08","910925869.79","2689158592.29","23176530165.74","20158604406.68","3017925759.06","16676985000.00","17008589000.00","18571445000.00","8","2","2","20","D","PG","2","1.1","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120111","Veterans Life Insurance","916110.20","33572141.34","'-32656031.14","20915238.95","324957440.50","'-304042201.55","1250354000.00","978844000.00","946202000.00","8","16","16","160","D","PG","2","1.15","2025","4","2025","3","09","30"
"2025-09-30","57120116","57120117","Less: Interfund Transactions","349212296.59","349212296.59","null","1473357573.13","1473357573.13","null","null","null","null","8","22","22","240","D","PGD","2","2.1","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120103","Federal Old-Age and Survivors Insurance","88303317421.73","120075207002.20","'-31771889580.47","1240425127563.47","1420791997802.62","'-180366870239.15","2582205113000.00","2432859612000.00","2400807809000.00","8","8","8","90","D","PG","2","1.7","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120104","Federal Supplementary Medical Insurance","58811247904.91","27243261567.57","31567986337.34","733585801168.98","741577762464.21","'-7991961295.23","164412218000.00","125064398000.00","153843897000.00","8","9","9","100","D","PG","2","1.8","2025","4","2025","3","09","30"
"2025-09-30","57120096","57120105","Hazardous Substance Superfund","545764255.63","224973241.77","320791013.86","2440504532.18","2171842213.64","268662318.54","11533700944.43","11427582055.54","11473236944.60","8","10","10","105","D","PG","2","1.9","2025","4","2025","3","09","30"
